"","Fast_Food","Food_Category","Calories","Total_Fat.g","Satured_Fat.g","Trans_Fat.g","Total_Carbs.g","Protein.g","Fiber.g","Sugars.g","Cholesterol.mg","Sodium.mg"
"1","McDonalds","Beef & Pork",494,25,10,1,40,27,3,9,87,1021
"2","McDonalds","Chicken & Fish",464,20,5,0,45,25,3,8,62,1112
"3","McDonalds","Desserts",467,14,8,1,76,9,1,64,43,166
"4","McDonalds","Salads",234,10,3,0,19,17,4,6,44,506
"5","McDonalds","Snacks & Sides",550,33,5,0,44,21,3,0,59,875
"6","Burger King","Beef & Pork",554,31,12,1,66,30,2,9,88,918
"7","Burger King","Chicken & Fish",472,24,5,0,42,21,3,6,49,1179
"8","Burger King","Desserts",412,14,8,0,65,7,1,47,30,348
"9","Burger King","Salads",560,36,8,0,31,29,4,14,81,1343
"10","Burger King","Snacks & Sides",223,11,3,0,26,5,2,1,12,460
"11","Taco Bell","Beef & Pork",415,19,7,0,43,18,6,4,49,1013
"12","Taco Bell","Chicken & Fish",458,18,5,0,52,22,6,4,45,1266
"13","Taco Bell","Desserts",266,13,3,0,35,2,2,16,9,214
"14","Taco Bell","Salads",626,29,7,0,65,25,10,6,52,1411
"15","Taco Bell","Snacks & Sides",391,20,5,0,40,13,5,4,27,748
"16","Wendy's","Beef & Pork",524,29,12,2,32,30,2,7,118,1132
"17","Wendy's","Chicken & Fish",455,20,5,0,42,27,3,5,71,1077
"18","Wendy's","Desserts",502,14,8,0,86,8,2,66,42,276
"19","Wendy's","Salads",257,13,6,0,15,21,4,5,76,669
"20","Wendy's","Snacks & Sides",278,14,5,0,29,11,2,5,78,544
